Using downloaded and verified file: data/train_32x32.mat
Using downloaded and verified file: data/test_32x32.mat
INFO:__main__:Epoch 54, G Loss:-4.73, D Loss:-3.07, G WD:3.67, gp:0.59, Time: 23.17.
INFO:__main__:Epoch 55, G Loss:-4.42, D Loss:-3.08, G WD:3.67, gp:0.59, Time: 23.24.
INFO:__main__:Epoch 56, G Loss:-4.45, D Loss:-3.06, G WD:3.65, gp:0.59, Time: 23.08.
INFO:__main__:Epoch 57, G Loss:-3.58, D Loss:-3.07, G WD:3.65, gp:0.58, Time: 23.45.
INFO:__main__:Epoch 58, G Loss:-3.21, D Loss:-3.06, G WD:3.63, gp:0.58, Time: 23.39.
INFO:__main__:Epoch 59, G Loss:-3.05, D Loss:-3.04, G WD:3.62, gp:0.58, Time: 23.36.
INFO:__main__:Epoch 60, G Loss:-2.43, D Loss:-3.04, G WD:3.62, gp:0.59, Time: 23.18.
INFO:__main__:Epoch 61, G Loss:-2.43, D Loss:-3.03, G WD:3.61, gp:0.58, Time: 23.25.
INFO:__main__:Epoch 62, G Loss:-2.52, D Loss:-3.03, G WD:3.62, gp:0.59, Time: 23.25.
INFO:__main__:Epoch 63, G Loss:-2.43, D Loss:-3.02, G WD:3.60, gp:0.58, Time: 23.30.
INFO:__main__:Epoch 64, G Loss:-2.55, D Loss:-3.00, G WD:3.58, gp:0.58, Time: 23.20.
INFO:__main__:Epoch 65, G Loss:-2.69, D Loss:-3.01, G WD:3.58, gp:0.57, Time: 23.13.
INFO:__main__:Epoch 66, G Loss:-2.59, D Loss:-3.05, G WD:3.64, gp:0.60, Time: 23.34.
INFO:__main__:Epoch 67, G Loss:-2.47, D Loss:-3.04, G WD:3.63, gp:0.59, Time: 23.41.
INFO:__main__:Epoch 68, G Loss:-2.73, D Loss:-3.08, G WD:3.68, gp:0.60, Time: 23.17.
INFO:__main__:Epoch 69, G Loss:-2.70, D Loss:-3.08, G WD:3.68, gp:0.60, Time: 23.20.
INFO:__main__:Epoch 70, G Loss:-2.52, D Loss:-3.08, G WD:3.68, gp:0.60, Time: 23.10.
INFO:__main__:Epoch 71, G Loss:-2.05, D Loss:-3.07, G WD:3.68, gp:0.60, Time: 23.26.
INFO:__main__:Epoch 72, G Loss:-2.08, D Loss:-3.02, G WD:3.60, gp:0.58, Time: 23.20.
INFO:__main__:Epoch 73, G Loss:-1.97, D Loss:-3.04, G WD:3.61, gp:0.58, Time: 23.32.
INFO:__main__:Epoch 74, G Loss:-1.66, D Loss:-3.06, G WD:3.65, gp:0.60, Time: 23.35.
INFO:__main__:Epoch 75, G Loss:-1.65, D Loss:-3.08, G WD:3.69, gp:0.61, Time: 23.18.
INFO:__main__:Epoch 76, G Loss:-1.57, D Loss:-3.09, G WD:3.71, gp:0.62, Time: 23.34.
INFO:__main__:Epoch 77, G Loss:-1.39, D Loss:-3.09, G WD:3.70, gp:0.61, Time: 23.27.
INFO:__main__:Epoch 78, G Loss:-1.53, D Loss:-3.11, G WD:3.72, gp:0.61, Time: 23.31.
INFO:__main__:Epoch 79, G Loss:-1.71, D Loss:-3.12, G WD:3.75, gp:0.63, Time: 23.31.
